	Gene Name	Protein name	Product Description	Evidence Ontology Term	GO Term
PA14_09460	phzC1	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	phenazine biosynthesis protein PhzC	match to InterPro signature evidence used in automatic assertion	aromatic amino acid family biosynthetic process; 3-deoxy-7-phosphoheptulonate synthase activity
PA14_09470	phzB1	Probable phenazine biosynthesis protein	phenazine biosynthesis protein	sequence similarity evidence used in automatic assertion	phenazine biosynthetic process; antibiotic biosynthetic process
PA14_09480	phzA1	Probable phenazine biosynthesis protein	phenazine biosynthesis protein	sequence similarity evidence used in automatic assertion	phenazine biosynthetic process; antibiotic biosynthetic process
PA14_09490	phzM	Probable phenazine-specific methyltransferase	phenazine-specific methyltransferase	match to InterPro signature evidence used in automatic assertion	methyltransferase activity; O-methyltransferase activity
PA14_09500	opmD	Outer membrane protein	outer membrane protein	match to InterPro signature evidence used in automatic assertion	transporter activity; transport; lipid binding; membrane
PA14_09520	mexI	Probable RND efflux transporter	RND efflux transporter	match to InterPro signature evidence used in automatic assertion	transporter activity; transport; membrane
PA14_09530	mexH	RND efflux membrane fusion protein	RND efflux membrane fusion protein	match to InterPro signature evidence used in automatic assertion	membrane; transmembrane transport
PA14_09540	PA14_09540				
PA14_09550	PA14_09550	Putative 3-carboxymuconate cyclase	hypothetical protein	match to InterPro signature evidence used in automatic assertion	protein binding
PA14_09570	PA14_09570	Putative LysR-family transcriptional regulator	LysR family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_09580	PA14_09580	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	catalytic activity; nitronate monooxygenase activity; oxidation-reduction process
PA14_09600	ddlA	D-alanine--D-alanine ligase (EC 6.3.2.4) (D-Ala-D-Ala ligase) (D-alanylalanine synthetase)	D-alanine--D-alanine ligase	match to InterPro signature evidence used in automatic assertion	catalytic activity; ATP binding; cytoplasm; D-alanine-D-alanine ligase activity; metal ion binding
PA14_09630	PA14_09630	Putative acyl-CoA dehydrogenase	acyl-CoA dehydrogenase	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity, acting on the CH-CH group of donors; oxidation-reduction process; metabolic process; acyl-CoA dehydrogenase activity; flavin adenine dinucleotide binding
PA14_09660	PA14_09660	Putative AMP-binding enzyme	acyl-CoA synthetase	match to InterPro signature evidence used in automatic assertion	catalytic activity; metabolic process
PA14_09680	PA14_09680	Putative two-component sensor	two-component sensor	match to InterPro signature evidence used in automatic assertion	signal transducer activity; signal transduction; phosphorelay sensor kinase activity; phosphorelay signal transduction system; phosphorylation; transferase activity, transferring phosphorus-containing groups; protein binding; membrane
PA14_09690	PA14_09690	Putative two-component response regulator	two-component response regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated; phosphorelay signal transduction system; DNA binding
PA14_09700	pqsL	Putative FAD-dependent monooxygenase	monooxygenase	match to InterPro signature evidence used in automatic assertion	metabolic process; oxidoreductase activity
PA14_09710	aldH	Putative aldehyde dehydrogenase	aldehyde dehydrogenase	match to InterPro signature evidence used in automatic assertion	metabolic process; oxidoreductase activity; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; oxidation-reduction process
PA14_09730	dapA	Putative dihydrodipicolinate synthase	dihydrodipicolinate synthase	match to InterPro signature evidence used in automatic assertion	catalytic activity; metabolic process; lyase activity
PA14_09740	yaaU	Putative MFS transporter	MFS transporter	match to InterPro signature evidence used in automatic assertion	integral component of membrane; transmembrane transporter activity; transmembrane transport; transporter activity; transport; membrane
PA14_09750	PA14_09750	Putative oxidoreductase	oxidoreductase	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity; oxidation-reduction process
PA14_09760	PA14_09760	Putative transcriptional regulator, GntR family	GntR family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_09770	PA14_09770	Putative transcriptional regulator, AraC family	sarcosine oxidation and utilization regulator SouR	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated; sequence-specific DNA binding; DNA binding
PA14_09790	PA14_09790	Putative transcriptional regulator	transcriptional regulator	match to InterPro signature evidence used in automatic assertion	FMN binding; oxidoreductase activity; oxidation-reduction process
PA14_09810	PA14_09810	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	RNA binding; phenylalanine-tRNA ligase activity
PA14_09820	PA14_09820	Putative acetolactate synthase large subunit	acetolactate synthase	match to InterPro signature evidence used in automatic assertion	thiamine pyrophosphate binding; catalytic activity; magnesium ion binding
PA14_09850	opdN	Putative porin	porin	match to InterPro signature evidence used in automatic assertion	transport; porin activity; integral component of membrane
PA14_09880	PA14_09880	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	metabolic process; carbon-sulfur lyase activity
PA14_09890	ppiC2	Peptidylprolyl isomerase (EC 5.2.1.8)	peptidyl-prolyl cis-trans isomerase C2	match to InterPro signature evidence used in automatic assertion	isomerase activity
PA14_09900	prpL	lysine catabolic process	Pvds-regulated endoprotease, lysyl class	sequence similarity evidence used in automatic assertion	lysine catabolic process; serine-type peptidase activity; catalytic activity
PA14_09910	lysR	Putative transcriptional regulator	transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_09930	PA14_09930	Putative exonuclease III	exonuclease III	match to InterPro signature evidence used in automatic assertion	DNA binding; endonuclease activity; intracellular; DNA repair; nuclease activity
PA14_09940	pfpI	Putative protease	protease	match to InterPro signature evidence used in automatic assertion	hydrolase activity, acting on glycosyl bonds
PA14_09950	PA14_09950	Putative oxidoreductase	oxidoreductase	match to InterPro signature evidence used in automatic assertion	oxidation-reduction process; oxidoreductase activity
PA14_09970	fpvB	Type I ferripyoverdine receptor, FpvB	type I ferripyoverdine receptor, FpvB	match to InterPro signature evidence used in automatic assertion	iron ion binding; receptor activity; siderophore transmembrane transporter activity; siderophore transport; outer membrane; transporter activity; transport; membrane
PA14_09980	yafB	Putative oxidoreductase, aldo/keto reductase family	2,5-diketo-D-gluconate reductase B	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity; oxidation-reduction process
PA14_09990	PA14_09990	Putative acetyltransferase	acetyltransferase	match to InterPro signature evidence used in automatic assertion	N-acetyltransferase activity
PA14_10010	PA14_10010	Putative transcriptional regulator	transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated; biosynthetic process; pyridoxal phosphate binding; catalytic activity
PA14_10020	PA14_10020				
PA14_10040	PA14_10040	Amidase family protein	amidase	match to InterPro signature evidence used in automatic assertion	carbon-nitrogen ligase activity, with glutamine as amido-N-donor
PA14_10070	PA14_10070	Putative zinc-dependent oxidoreductase	zinc-dependent oxidoreductase	match to InterPro signature evidence used in automatic assertion	zinc ion binding; oxidoreductase activity; oxidation-reduction process
PA14_10090	PA14_10090	Possible LysR family transcription regulator	LysR family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_10110	PA14_10110	Putative transporter	transporter	match to InterPro signature evidence used in automatic assertion	integral component of membrane; transmembrane transport
PA14_10120	PA14_10120	Possible LysR family transcription regulator	LysR family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_10130	PA14_10130	Putative short-chain dehydrogenase	short chain dehydrogenase	match to InterPro signature evidence used in automatic assertion	metabolic process; oxidoreductase activity
PA14_10140	fepG	Ferric enterobactin transport protein FepG	ferric enterobactin transport protein FepG	match to InterPro signature evidence used in automatic assertion	transporter activity; membrane
